"","mall","latitude","longitude"
"73","Katong Shopping Centre","1.30379813229515","103.901161718308"
"74","Katong Square","1.30513510179213","103.904307160288"
"75","Kallang Wave Mall","1.30307515150401","103.873149707591"
"76","Leisure Park Kallang","1.30192883841134","103.876208170362"
"77","i12 Katong","1.30522306203042","103.905043928938"
"78","Our Tampines Hub","1.35313359828812","103.940408135311"
"79","Parkway Parade","1.30112841266066","103.905204909662"
"80","Pasir Ris West Plaza","1.37966812044177","103.936574613663"
"81","Paya Lebar Square","1.31881486980278","103.892580778242"
"82","Paya Lebar Quarter","1.31617383739365","103.893138984874"
"83","Roxy Square","1.30432599904899","103.904051120306"
"84","Singpost Centre","1.31883826160863","103.894582338015"
"85","Tampines 1","1.3522279450458","103.952437443086"
"86","Tampines Mall","1.35252737278519","103.944698751072"
"87","White Sands","1.36555714668553","103.960918869319"
"88","City Plaza","1.31480226743889","103.893477464106"
"89","Elias Mall","1.37860239771677","103.941978174681"
"90","Loyang Point","1.36645364010349","103.964598499523"
"91","888 Plaza","1.43711856085535","103.795316064775"
"92","Admiralty Place","1.4398809549057","103.801791019595"
"93","AMK Hub","1.36938922717717","103.848477965668"
"94","Canberra Plaza","1.44349544527985","103.830345369213"
"95","Causeway Point","1.43592702612215","103.786047454862"
"96","Woodlands Civic Centre","1.43515024446739","103.786816106255"
"97","Broadway Plaza","1.37193729131781","103.845949444498"
"98","Jubilee Square","1.37178558575829","103.847837565378"
"99","Junction Nine","1.4331228398318","103.84166098599"
"100","Marsiling Mall","1.43354318137534","103.77988189197"
"101","Northpoint City","1.42811357691004","103.836063081819"
"102","Sembawang Shopping Centre","1.44176715230315","103.82449507066"
"103","Sun Plaza","1.35731626202304","103.945503131291"
"104","Vista Point","1.43084006826605","103.793416329134"
"105","Wisteria Mall","1.41795288501536","103.841268831617"
"106","Woodlands Mart","1.44562290720221","103.798140993891"
"107","Woodlands North Plaza","1.44275334327795","103.790548015512"
"108","Buangkok Square","1.3840286792222","103.882006815341"
"109","Compass One","1.39205314156706","103.89507054384"
"110","Greenwich V","1.38739539397015","103.869135978173"
"111","Heartland Mall","1.35954450890401","103.885169070198"
"112","Hougang 1","1.35370313485788","103.890680820842"
"113","Hougang Green Shopping Mall","1.37931783499145","103.88784708944"
"114","Hougang Mall","1.37931783499145","103.88784708944"
"115","NEX","1.32080383232055","103.878729392176"
"116","Northshore Plaza","1.41796143093751","103.901321830086"
"117","Oasis Terraces","1.40282352005409","103.91346139614"
"118","Punggol Plaza","1.39425629780831","103.913043510411"
"119","Rivervale Mall","1.39219777838449","103.904471600025"
"120","Rivervale Plaza","1.38548325969894","103.901870455683"
"121","Sengkang Grand Mall","1.38318916340582","103.892377573066"
"122","The Seletar Mall","1.39150192642807","103.87617162828"
"123","Upper Serangoon Shopping Centre","1.35348082277147","103.878828134896"
"124","Waterway Point","1.40648462132006","103.902105680785"
"125","myVillage At Serangoon Garden","1.36511490572797","103.865159501442"
"126","Beauty World Centre","1.34241264188642","103.776539385406"
"127","Beauty World Plaza","1.34180018619223","103.776259359854"
"128","Bukit Panjang Plaza","1.37989494369864","103.764459887796"
"129","Bukit Timah Plaza","1.3386316527745","103.778585430975"
"130","Fajar Shopping Centre","1.38377798738412","103.771350678551"
"131","Greenridge Shopping Centre","1.38540569310644","103.766228468185"
"132","Hillion Mall","1.37843100827586","103.762842789877"
"133","HillV2","1.36267450828024","103.76417292006"
"134","Junction 10","1.38055127973087","103.760106974822"
"135","Keat Hong Shopping Centre","1.37736607441394","103.744393648768"
"136","Limbang Shopping Centre","1.39206782341869","103.743102282335"
"137","Lot One","1.38497459672379","103.745011766388"
"138","Rail Mall","1.35809134778511","103.767879290462"
"139","Sunshine Place","1.37789727709418","103.739015486021"
"140","Teck Whye Shopping Centre","1.38004752975397","103.752483841199"
"141","West Mall","1.35037541626109","103.74912389291"
"142","Yew Tee Point","1.39705741516141","103.746662121143"
"143","Yew Tee Square","1.39832134529461","103.747344865384"
"144","VivoCity","1.2650508426276","103.821624580393"
"145","HarbourFront Centre","1.26393160324447","103.820112171695"
"146","Alexandra Retail Centre","1.27414893629254","103.801399416665"
"147","321 Clementi","1.31200212030821","103.764986676365"
"148","The Clementi Mall","1.31489619639366","103.764423054189"
"149","IMM","1.30210127109321","103.793724128024"
"150","J'DEN","1.33335548871256","103.740182040775"
"151","Jem","1.33305999269581","103.743503708169"
"152","Westgate","1.33459925741287","103.74294445162"
"153","Jurong Point","1.33945200436319","103.706685012654"
"154","Pioneer Mall","1.34172918995172","103.697223721918"
"155","The Star Vista","1.30697044038323","103.788420274115"
"156","Alexandra Central","1.28745612377699","103.805414652014"
"157","Anchorpoint","1.28861469030586","103.805009964592"
"158","The Grandstand","1.33662750219377","103.792928821275"
"159","Boon Lay Shopping Centre","1.34637376407877","103.712472819666"
"160","Grantral Mall","1.33372210930312","103.887530827719"
"161","Fairprice Hub","1.32561767792578","103.678409741897"
"162","Gek Poh Shopping Centre","1.34874387926183","103.698298710842"
"163","Rochester Mall","1.30540765569962","103.788446680148"
"164","Taman Jurong Shopping Centre","1.33484487471259","103.720462024278"
"165","West Coast Plaza","1.30358268135917","103.765284515616"
"166","Queensway Shopping Centre","1.28759518939869","103.803397287789"
"167","The Rail Mall","1.35809134778511","103.767879290462"
